1,What is the capital of France?,Paris
2,Who painted the Mona Lisa?,Leonardo da Vinci
3,What is the currency of Japan?,Japanese Yen (¥)
4,Who wrote "Harry Potter and the Philosopher's Stone"?,J.K. Rowling
5,What is the largest mammal on Earth?,Blue whale
6,In which country is the Great Barrier Reef located?,Australia
7,Who was the first President of the United States?,George Washington
8,What is the tallest mountain in the world?,Mount Everest
9,What is the chemical symbol for gold?,Au
10,Who wrote "The Iliad" and "The Odyssey"?,Homer
11,What is the largest planet in our solar system?,Jupiter
12,What is the currency of China?,Chinese Yuan (¥)
13,Who is known as the father of modern physics?,Albert Einstein
14,What is the national flower of the United States?,Rose
15,Which gas do plants absorb from the atmosphere and release oxygen during photosynthesis?,Carbon dioxide (CO2)
16,Who discovered penicillin?,Alexander Fleming
17,What is the chemical symbol for silver?,Ag
18,What is the world's longest river?,The Nile
19,What is the capital of India?,New Delhi
20,Who wrote "Romeo and Juliet"?,William Shakespeare
21,What is the currency of Brazil?,Brazilian Real (R$)
22,Which gas is responsible for the ozone layer depletion?,Chlorofluorocarbons (CFCs)
23,Who is the author of "The Catcher in the Rye"?,J.D. Salinger
24,What is the smallest planet in our solar system?,Mercury
25,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
26,What is the chemical formula for water?,H2O
27,What is the largest desert in the world?,Sahara Desert
28,What is the national animal of Australia?,Kangaroo
29,Who wrote "Pride and Prejudice"?,Jane Austen
30,What is the largest organ in the human body?,Skin
31,What is the capital of Russia?,Moscow
32,Who is known as the "Father of the Indian Constitution"?,B.R. Ambedkar
33,What is the chemical symbol for oxygen?,O
34,What is the world's largest ocean?,Pacific Ocean
35,Who painted "The Starry Night"?,Vincent van Gogh
36,What is the national flower of Japan?,Cherry blossom
37,In which year did the Titanic sink?,1912
38,What is the smallest mammal in the world?,Bumblebee Bat
39,Who wrote "1984"?,George Orwell
40,What is the national bird of the United States?,Bald Eagle
41,What is the largest moon in the solar system?,Ganymede (a moon of Jupiter)
42,Who composed the Ninth Symphony?,Ludwig van Beethoven
43,What is the currency of the United Kingdom?,British Pound (£)
44,Who is the author of "The Great Gatsby"?,F. Scott Fitzgerald
45,What is the largest species of shark?,Whale Shark
46,What is the capital of South Korea?,Seoul
47,What is the chemical formula for table salt?,NaCl (Sodium Chloride)
48,Which gas do humans exhale when they breathe out?,Carbon dioxide (CO2)
49,What is the national flower of India?,Lotus
50,Who was the first woman to win a Nobel Prize?,Marie Curie
51,What is the largest tree species in the world?,General Sherman (a giant sequoia)
52,Who is the author of "The Old Man and the Sea"?,Ernest Hemingway
53,What is the world's largest land mammal?,African Elephant
54,What is the currency of South Africa?,South African Rand (R)
55,Who wrote "War and Peace"?,Leo Tolstoy
56,What is the chemical symbol for carbon?,C
57,What is the national animal of China?,Giant Panda
58,Who is the author of "The Odyssey"?,Homer
59,What is the tallest mountain in North America?,Denali (formerly known as Mount McKinley)
60,What is the capital of Canada?,Ottawa
61,Who is the author of "The Little Prince"?,Antoine de Saint-Exupéry
62,What is the chemical formula for methane?,CH4
63,What is the largest continent by land area?,Asia
64,Who is the author of "The Grapes of Wrath"?,John Steinbeck
65,What is the world's highest waterfall?,Angel Falls
66,What is the currency of Mexico?,Mexican Peso (MXN)
67,Who wrote "The Canterbury Tales"?,Geoffrey Chaucer
68,What is the chemical symbol for nitrogen?,N
69,What is the national flower of Canada?,Maple leaf
70,Who was the first man to walk on the moon?,Neil Armstrong
71,What is the largest planet in the Milky Way galaxy?,Jupiter
72,What is the capital of Italy?,Rome
73,Who is known as the "Father of the Computer"?,Alan Turing
74,What is the chemical symbol for helium?,He
75,What is the world's largest coral reef system?,Great Barrier Reef
76,What is the national bird of India?,Indian Peafowl (Peacock)
77,Who wrote "The War of the Worlds"?,H.G. Wells
78,What is the smallest bone in the human body?,Stapes bone (in the ear)
79,What is the currency of Australia?,Australian Dollar (AUD)
80,Who was the first woman to win a Nobel Prize?,Marie Curie
81,What is the largest lake in the world by surface area?,Caspian Sea
82,What is the chemical formula for sulfuric acid?,H2SO4
83,What is the national animal of Russia?,Russian Bear
84,Who is the author of "The Lord of the Rings"?,J.R.R. Tolkien
85,What is the world's second-largest continent by land area?,Africa
86,What is the capital of China?,Beijing
87,Who painted the ceiling of the Sistine Chapel?,Michelangelo
88,What is the chemical symbol for lead?,Pb
89,What is the world's second-largest ocean?,Atlantic Ocean
90,What is the currency of Germany?,Euro (€)
91,Who wrote "The Adventures of Sherlock Holmes"?,Arthur Conan Doyle
92,What is the chemical symbol for potassium?,K
93,What is the national flower of France?,Lily (Fleur-de-lis)
94,What is the largest desert in North America?,Sonoran Desert
95,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
96,What is the currency of Canada?,Canadian Dollar (CAD)
97,Who wrote "The Divine Comedy"?,Dante Alighieri
98,What is the chemical formula for carbon dioxide?,CO2
99,What is the world's largest island?,Greenland
100,What is the capital of Spain?,Madrid
101,Who is known as the "Father of Medicine"?,Hippocrates
102,What is the chemical symbol for iron?,Fe
103,What is the world's largest and most populous continent?,Asia
104,What is the currency of Saudi Arabia?,Saudi Riyal (ر.س)
105,Who wrote "The Hound of the Baskervilles"?,Arthur Conan Doyle
106,What is the chemical formula for ammonia?,NH3
107,What is the national bird of Australia?,Emu
108,What is the world's smallest ocean?,Arctic Ocean
109,What is the capital of South Africa?,Pretoria
110,Who is known as the "Father of Geometry"?,Euclid
111,What is the chemical symbol for copper?,Cu
112,What is the world's largest freshwater lake by volume?,Lake Baikal
113,What is the currency of Egypt?,Egyptian Pound (EGP)
114,Who wrote "The Canterbury Tales"?,Geoffrey Chaucer
115,What is the chemical formula for nitric acid?,HNO3
116,What is the national flower of China?,Peony
117,What is the world's deepest ocean?,Pacific Ocean
118,What is the capital of Argentina?,Buenos Aires
119,Who is known as the "Father of Chemistry"?,Antoine Lavoisier
120,What is the chemical symbol for tin?,Sn
121,What is the world's largest arachnid?,Giant Huntsman Spider
122,What is the currency of Japan?,Japanese Yen (¥)
123,Who wrote "The Adventures of Tom Sawyer"?,Mark Twain
124,What is the chemical formula for nitrous oxide?,N2O
125,What is the national animal of the United States?,Bald Eagle
126,What is the world's highest mountain range?,Himalayas
127,What is the capital of Egypt?,Cairo
128,Who is known as the "Father of Modern Chemistry"?,Robert Boyle
129,What is the chemical symbol for calcium?,Ca
130,What is the world's largest flower?,Rafflesia arnoldii
131,What is the currency of Russia?,Russian Ruble (₽)
132,Who wrote "The Scarlet Letter"?,Nathaniel Hawthorne
133,What is the chemical formula for phosphoric acid?,H3PO4
134,What is the national bird of China?,Red-crowned Crane
135,What is the world's largest lizard?,Komodo Dragon
136,What is the capital of Germany?,Berlin
137,Who is known as the "Father of Modern Medicine"?,Louis Pasteur
138,What is the chemical symbol for sodium?,Na
139,What is the world's longest mountain range?,Andes
140,What is the currency of South Korea?,South Korean Won (₩)
141,Who wrote "The Odyssey"?,Homer
142,What is the chemical formula for hydrochloric acid?,HCl
143,What is the national flower of England?,Rose
144,What is the world's smallest mammal?,Bumblebee Bat
145,What is the capital of Australia?,Canberra
146,Who is known as the "Father of Electricity"?,Benjamin Franklin
147,What is the chemical symbol for silicon?,Si
148,What is the world's largest volcano?,Mauna Loa (Hawaii)
149,What is the currency of Italy?,Euro (€)
150,Who wrote "The Metamorphosis"?,Franz Kafka
151,What is the chemical formula for sulfur dioxide?,SO2
152,What is the national flower of Australia?,Golden Wattle
153,What is the world's largest rodent?,Capybara
154,What is the capital of Brazil?,Brasília
155,Who is known as the "Father of Modern Philosophy"?,René Descartes
156,What is the chemical symbol for aluminum?,Al
157,What is the world's largest desert by area?,Antarctica
158,What is the currency of France?,Euro (€)
159,Who wrote "The Road Not Taken"?,Robert Frost
160,What is the chemical formula for hydrofluoric acid?,HF
161,What is the national flower of Japan?,Cherry blossom
162,What is the world's largest reptile?,Saltwater Crocodile
163,What is the capital of South Africa?,Bloemfontein
164,Who is known as the "Father of Western Philosophy"?,Socrates
165,What is the chemical symbol for magnesium?,Mg
166,What is the world's largest desert not covered in sand?,Antarctica
167,What is the currency of Spain?,Euro (€)
168,Who wrote "One Hundred Years of Solitude"?,Gabriel García Márquez
169,What is the chemical formula for acetic acid?,CH3COOH
170,What is the national bird of Japan?,Green Pheasant
171,What is the world's smallest continent?,Australia
172,What is the capital of Canada?,Ottawa
173,Who is known as the "Father of Western Medicine"?,Hippocrates
174,What is the chemical symbol for potassium?,K
175,What is the world's largest rodent?,Capybara
176,What is the currency of Mexico?,Mexican Peso (MXN)
177,Who wrote "Moby-Dick"?,Herman Melville
178,What is the chemical formula for citric acid?,C6H8O7
179,What is the national flower of Canada?,Maple leaf
180,What is the world's largest and most populous country?,China
181,What is the capital of Argentina?,Buenos Aires
182,Who is known as the "Father of Algebra"?,Muhammad ibn Musa al-Khwarizmi
183,What is the chemical symbol for phosphorus?,P
184,What is the world's largest land arthropod?,Japanese Spider Crab
185,What is the currency of Germany?,Euro (€)
186,Who wrote "The Strange Case of Dr. Jekyll and Mr. Hyde"?,Robert Louis Stevenson
187,What is the chemical formula for sodium chloride?,NaCl
188,What is the national flower of China?,Peony
189,What is the world's largest landlocked country?,Kazakhstan
190,What is the capital of Egypt?,Cairo
191,Who is known as the "Father of Psychology"?,Wilhelm Wundt
192,What is the chemical symbol for chlorine?,Cl
193,What is the world's longest cave system?,Mammoth Cave (USA)
194,What is the currency of India?,Indian Rupee (₹)
195,Who wrote "The Brothers Karamazov"?,Fyodor Dostoevsky
196,What is the chemical formula for glucose?,C6H12O6
197,What is the national bird of the United Kingdom?,European Robin
198,What is the world's largest species of penguin?,Emperor Penguin
199,What is the capital of China?,Beijing
200,Who is known as the "Father of the Renaissance"?,Leonardo da Vinci
201,What is the chemical symbol for sulfur?,S
202,What is the world's largest saltwater lake by surface area?,Caspian Sea
203,What is the currency of Brazil?,Brazilian Real (R$)
204,Who wrote "Don Quixote"?,Miguel de Cervantes
205,What is the chemical formula for carbon monoxide?,CO
206,What is the national flower of France?,Lily (Fleur-de-lis)
207,What is the world's smallest bird?,Bee Hummingbird
208,What is the capital of Russia?,Moscow
209,Who is known as the "Father of Geometry"?,Euclid
210,What is the chemical symbol for chromium?,Cr
211,What is the world's largest carnivorous marsupial?,Tasmanian Devil
212,What is the currency of South Africa?,South African Rand (R)
213,Who wrote "The Three Musketeers"?,Alexandre Dumas
214,What is the chemical formula for hydrogen peroxide?,H2O2
215,What is the national bird of Australia?,Emu
216,What is the world's longest river in terms of discharge?,Amazon River
217,What is the capital of Italy?,Rome
218,Who is known as the "Father of Modern Chemistry"?,Antoine Lavoisier
219,What is the chemical symbol for nickel?,Ni
220,What is the world's largest and most populous island?,Java (Indonesia)
221,What is the currency of Saudi Arabia?,Saudi Riyal (ر.س)
222,Who wrote "The Count of Monte Cristo"?,Alexandre Dumas
223,What is the chemical formula for sodium hydroxide?,NaOH
224,What is the national flower of India?,Lotus
225,What is the world's largest bat species?,Giant Flying Fox
226,What is the capital of South Korea?,Seoul
227,Who is known as the "Father of Modern Medicine"?,Louis Pasteur
228,What is the chemical symbol for manganese?,Mn
229,What is the world's largest land mammal by weight?,African Elephant
230,What is the currency of Japan?,Japanese Yen (¥)
231,Who wrote "The Picture of Dorian Gray"?,Oscar Wilde
232,What is the chemical formula for sulfuric acid?,H2SO4
233,What is the national bird of China?,Red-crowned Crane
234,What is the world's largest living reptile?,Saltwater Crocodile
235,What is the capital of South Africa?,Bloemfontein
236,Who is known as the "Father of the Computer"?,Charles Babbage
237,What is the chemical symbol for barium?,Ba
238,What is the world's largest freshwater lake by surface area?,Lake Superior
239,What is the currency of Egypt?,Egyptian Pound (EGP)
240,Who wrote "The Adventures of Huckleberry Finn"?,Mark Twain
241,What is the chemical formula for nitric acid?,HNO3
242,What is the national flower of Canada?,Maple leaf
243,What is the world's deepest lake?,Lake Baikal
244,What is the capital of Canada?,Ottawa
245,Who is known as the "Father of Modern Philosophy"?,René Descartes
246,What is the chemical symbol for neon?,Ne
247,What is the world's largest flying bird?,Wandering Albatross
248,What is the currency of Spain?,Euro (€)
249,Who wrote "Crime and Punishment"?,Fyodor Dostoevsky
250,What is the chemical formula for hydrochloric acid?,HCl
251,What is the national flower of England?,Rose
252,What is the world's largest marsupial?,Red Kangaroo
253,What is the capital of Australia?,Canberra
254,Who is known as the "Father of Western Philosophy"?,Socrates
255,What is the chemical symbol for calcium?,Ca
256,What is the world's largest land arthropod?,Japanese Spider Crab
257,What is the currency of Germany?,Euro (€)
258,Who wrote "The Adventures of Sherlock Holmes"?,Arthur Conan Doyle
259,What is the chemical formula for sulfur dioxide?,SO2
260,What is the national flower of Australia?,Golden Wattle
261,What is the world's largest herbivorous marsupial?,Common Wombat
262,What is the capital of Brazil?,Brasília
263,Who is known as the "Father of Economics"?,Adam Smith
264,What is the chemical symbol for argon?,Ar
265,What is the world's largest desert not covered in sand?,Antarctica
266,What is the currency of France?,Euro (€)
267,Who wrote "The Metamorphosis"?,Franz Kafka
268,What is the chemical formula for citric acid?,C6H8O7
269,What is the national bird of India?,Indian Peafowl (Peacock)
270,What is the world's largest island country by land area?,Indonesia
271,What is the capital of Argentina?,Buenos Aires
272,Who is known as the "Father of Western Medicine"?,Hippocrates
273,What is the chemical symbol for potassium?,K
274,What is the world's largest rodent?,Capybara
275,What is the currency of Mexico?,Mexican Peso (MXN)
276,Who wrote "Moby-Dick"?,Herman Melville
277,What is the chemical formula for glucose?,C6H12O6
278,What is the national bird of the United Kingdom?,European Robin
279,What is the world's largest species of penguin?,Emperor Penguin
280,What is the capital of China?,Beijing
281,Who is known as the "Father of the Renaissance"?,Leonardo da Vinci
282,What is the chemical symbol for sulfur?,S
283,What is the world's largest saltwater lake by surface area?,Caspian Sea
284,What is the currency of Brazil?,Brazilian Real (R$)
285,Who wrote "Don Quixote"?,Miguel de Cervantes
286,What is the chemical formula for carbon monoxide?,CO
287,What is the national flower of France?,Lily (Fleur-de-lis)
288,What is the world's smallest bird?,Bee Hummingbird
289,What is the capital of Russia?,Moscow
290,Who is known as the "Father of Geometry"?,Euclid
291,What is the chemical symbol for chromium?,Cr
292,What is the world's largest carnivorous marsupial?,Tasmanian Devil
293,What is the currency of South Africa?,South African Rand (R)
